人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
1154,岸田 国士,44481,演劇的青春への釈明,新字旧仮名,,tatsuki,門田裕志,公開,2009-10-17,岸田國士全集22,岩波書店,1990（平成2）年10月8日,1990（平成2）年10月8日
129,森 鴎外,2080,柵草紙の山房論文,旧字旧仮名,,網迫、土屋隆,阿部哲也,公開,2012-09-09,森鴎外全集第七卷,筑摩書房,1974（昭和49）年5月20日初版第4刷,1985（昭和60）年5月15日初版第13刷
1657,アークム フレデリック,54333,食品の混ぜ物処理および調理の毒物（1820）,新字新仮名,水上 茂樹,,Juki,公開,2011-11-21,,,,
726,長谷川 時雨,47587,お灸,旧字旧仮名,,門田裕志,仙酔ゑびす,公開,2009-03-06,桃,中央公論社,1939（昭和14）年2月10日,1939（昭和14）年2月10日
1154,岸田 国士,44382,女優と劇作家,新字旧仮名,,tatsuki,小林繁雄、門田裕志,公開,2006-03-31,岸田國士全集20,岩波書店,1990（平成2）年3月8日,1990（平成2）年3月8日
1634,田村 乙彦,54083,育て力づよく,新字新仮名,,坂本真一,フクポー,公開,2017-12-10,日本プロレタリア文学集・39　プロレタリア詩集（二）,新日本出版社,1987（昭和62）年6月30日初版,1989（平成元）年5月15日第3刷
492,片上 伸,42248,生みの力,旧字旧仮名,,高柳典子,岩澤秀紀,公開,2012-08-14,片上伸全集　第1巻,日本図書センター,1997（平成9）年3月25日復刻,1997（平成9）年3月25日復刻
1604,桜間 中庸,53831,すかんぽ原,旧字旧仮名,,Y.S.,富田倫生,公開,2011-11-02,日光浴室　櫻間中庸遺稿集,ボン書店,1936（昭和11）年7月28日,1936（昭和11）年7月28日
1869,山本 周五郎,57788,樅ノ木は残った 01 第一部,新字新仮名,,特定非営利活動法人はるかぜ,富田晶子,公開,2018-02-14,山本周五郎全集第九巻　樅ノ木は残った（上）,新潮社,1982（昭和57）年11月25日,1982（昭和57）年11月25日
1295,レスコーフ ニコライ・セミョーノヴィチ,47207,ムツェンスク郡のマクベス夫人,新字新仮名,神西 清,oterudon,伊藤時也,公開,2009-08-09,真珠の首飾り　他二篇,岩波文庫、岩波書店,2007（平成19）年2月21日第7刷,2007（平成19）年2月21日第7刷
1341,永井 荷風,49641,草紅葉,新字新仮名,,門田裕志,阿部哲也,公開,2010-04-16,荷風随筆集（下）,岩波文庫、岩波書店,2007（平成19）年7月13日第23刷,1993（平成5）年5月6日第10刷
1288,宮城 道雄,47108,垣隣り,新字新仮名,,貝波明美,noriko saito,公開,2008-01-26,心の調べ,河出書房新社,2006（平成18）年8月30日初版,2006（平成18）年8月30日初版
1154,岸田 国士,44327,『同志の人々』,新字旧仮名,,tatsuki,Juki,公開,2008-12-16,岸田國士全集19,岩波書店,1989（平成元）年12月8日,1989（平成元）年12月8日
270,高村 光雲,45967,幕末維新懐古談 15 焼け跡の身惨なはなし,新字新仮名,,網迫、土屋隆,しだひろし,公開,2006-03-23,幕末維新懐古談,岩波文庫、岩波書店,1995（平成7）年1月17日第1刷,1995（平成7）年1月17日第1刷
